timestamp,aqi_index,co,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,wind_speed
2026-03-20 01:00:00,3,596.93,15.41,46.89,2.87,31.03,32.16,6.32,2.2,84,2.7
2026-03-24 22:00:00,4,608.13,11.31,98.19,7.58,54.77,62.89,19.94,-2.2,42,6.2
2026-04-20 21:00:00,3,402.98,11.52,67.1,4.01,34.83,53.46,48.87,5.0,55,4.9
2026-04-20 22:00:00,3,381.79,9.69,70.17,3.85,34.97,52.81,50.59,4.6,55,4.2
2026-04-22 15:00:00,3,361.5,14.76,63.01,3.14,26.82,42.21,22.05,8.4,40,4.1
2026-04-23 10:00:00,2,174.68,4.38,80.57,1.26,14.35,27.67,7.54,13.9,34,6.1
2026-04-26 07:00:00,2,141.7,0.85,84.26,0.66,11.38,14.77,5.13,9.7,58,5.5
2026-05-02 21:00:00,2,331.67,9.96,41.43,1.15,17.88,24.59,43.93,7.0,74,1.1
2026-05-07 10:00:00,3,104.63,0.5,103.65,0.35,8.78,29.96,3.66,19.0,25,5.1
2026-05-18 06:00:00,3,101.84,0.43,102.52,0.67,8.13,17.07,4.19,19.07,30,0.38
2025-11-17 14:00:00,3,629.33,27.71,56.57,6.47,49.23,61.48,14.13,6.7,38,1.8
2025-11-19 02:00:00,4,649.24,18.45,68.17,9.36,53.65,64.79,28.81,3.5,46,1.1
2025-11-22 13:00:00,3,466.22,19.29,67.95,3.31,37.22,45.04,10.24,1.2,32,3.6
2025-11-25 15:00:00,4,721.96,29.41,65.73,9.52,58.31,72.75,21.91,2.5,31,2.5
2025-11-26 15:00:00,3,696.3,30.87,54.3,9.66,46.22,59.89,22.34,2.2,31,0.6
2025-11-29 02:00:00,3,572.83,16.08,64.07,8.25,44.9,53.86,28.06,-0.7,40,1.2
2025-12-02 13:00:00,4,637.26,26.69,62.32,6.48,54.77,64.08,8.74,1.6,51,1.0
2025-12-04 07:00:00,3,464.8,9.95,88.94,4.34,46.62,53.44,5.01,4.5,50,3.0
2025-12-15 03:00:00,4,755.2,24.71,38.76,9.6,50.12,60.8,15.22,3.1,58,2.1
2025-12-16 03:00:00,4,791.47,25.69,35.51,10.94,52.97,65.53,17.07,2.0,51,1.9
2025-12-20 21:00:00,3,510.32,10.68,47.57,1.24,41.35,45.73,2.58,7.4,51,1.8
2026-01-05 03:00:00,4,1037.02,28.59,43.97,10.03,60.35,69.9,13.24,-13.9,62,8.9
